"Fullname","PowerShell51","PowerShell61","PSStandard5","ExclusionReason"
"Microsoft.PowerShell.AdapterCodeMethods","True","False","False",""
"Microsoft.PowerShell.Cim.CimInstanceAdapter","True","True","True",""
"Microsoft.PowerShell.Cmdletization.BehaviorOnNoMatch","True","True","True",""
"Microsoft.PowerShell.Cmdletization.CmdletAdapter`1","True","True","True",""
"Microsoft.PowerShell.Cmdletization.MethodInvocationInfo","True","True","True",""
"Microsoft.PowerShell.Cmdletization.MethodParameter","True","True","True",""
"Microsoft.PowerShell.Cmdletization.MethodParameterBindings","True","True","True",""
"Microsoft.PowerShell.Cmdletization.QueryBuilder","True","True","True",""
"Microsoft.PowerShell.Cmdletization.Xml.ConfirmImpact","True","True","True",""
"Microsoft.PowerShell.Cmdletization.Xml.ItemsChoiceType","True","True","True",""
"Microsoft.PowerShell.Commands.AddHistoryCommand","True","True","True",""
"Microsoft.PowerShell.Commands.AddPSSnapinCommand","True","False","False",""
"Microsoft.PowerShell.Commands.AliasProvider","True","True","True",""
"Microsoft.PowerShell.Commands.AliasProviderDynamicParameters","True","True","True",""
"Microsoft.PowerShell.Commands.ClearHistoryCommand","True","True","True",""
"Microsoft.PowerShell.Commands.ConnectPSSessionCommand","True","False","False",""
"Microsoft.PowerShell.Commands.ConsoleCmdletsBase","True","False","False",""
"Microsoft.PowerShell.Commands.DebugJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.DisablePSRemotingCommand","True","False","False",""
"Microsoft.PowerShell.Commands.DisablePSSessionConfigurationCommand","True","False","False",""
"Microsoft.PowerShell.Commands.DisconnectPSSessionCommand","True","False","False",""
"Microsoft.PowerShell.Commands.EnablePSRemotingCommand","True","False","False",""
"Microsoft.PowerShell.Commands.EnablePSSessionConfigurationCommand","True","False","False",""
"Microsoft.PowerShell.Commands.EnterPSHostProcessCommand","True","False","False",""
"Microsoft.PowerShell.Commands.EnterPSSessionCommand","True","True","True",""
"Microsoft.PowerShell.Commands.EnvironmentProvider","True","True","True",""
"Microsoft.PowerShell.Commands.ExitPSHostProcessCommand","True","False","False",""
"Microsoft.PowerShell.Commands.ExitPSSessionCommand","True","True","True",""
"Microsoft.PowerShell.Commands.ExportConsoleCommand","True","False","False",""
"Microsoft.PowerShell.Commands.ExportModuleMemberCommand","True","True","True",""
"Microsoft.PowerShell.Commands.FileSystemClearContentDynamicParameters","True","True","True",""
"Microsoft.PowerShell.Commands.FileSystemCmdletProviderEncoding","True","False","False",""
"Microsoft.PowerShell.Commands.FileSystemContentDynamicParametersBase","True","True","True",""
"Microsoft.PowerShell.Commands.FileSystemContentReaderDynamicParameters","True","True","True",""
"Microsoft.PowerShell.Commands.FileSystemContentWriterDynamicParameters","True","True","True",""
"Microsoft.PowerShell.Commands.FileSystemItemProviderDynamicParameters","True","True","True",""
"Microsoft.PowerShell.Commands.FileSystemProvider","True","True","True",""
"Microsoft.PowerShell.Commands.FileSystemProviderGetItemDynamicParameters","True","True","True",""
"Microsoft.PowerShell.Commands.FileSystemProviderRemoveItemDynamicParameters","True","True","True",""
"Microsoft.PowerShell.Commands.ForEachObjectCommand","True","True","True",""
"Microsoft.PowerShell.Commands.FormatDefaultCommand","True","True","True",""
"Microsoft.PowerShell.Commands.FunctionProvider","True","True","True",""
"Microsoft.PowerShell.Commands.FunctionProviderDynamicParameters","True","True","True",""
"Microsoft.PowerShell.Commands.GetCommandCommand","True","True","True",""
"Microsoft.PowerShell.Commands.GetExperimentalFeatureCommand","False","True","False",""
"Microsoft.PowerShell.Commands.GetHelpCodeMethods","True","True","True",""
"Microsoft.PowerShell.Commands.GetHelpCommand","True","True","True",""
"Microsoft.PowerShell.Commands.GetHistoryCommand","True","True","True",""
"Microsoft.PowerShell.Commands.GetJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.GetModuleCommand","True","True","True",""
"Microsoft.PowerShell.Commands.GetPSHostProcessInfoCommand","True","False","False",""
"Microsoft.PowerShell.Commands.GetPSSessionCapabilityCommand","True","False","False",""
"Microsoft.PowerShell.Commands.GetPSSessionCommand","True","True","True",""
"Microsoft.PowerShell.Commands.GetPSSessionConfigurationCommand","True","False","False",""
"Microsoft.PowerShell.Commands.GetPSSnapinCommand","True","False","False",""
"Microsoft.PowerShell.Commands.HelpCategoryInvalidException","True","True","True",""
"Microsoft.PowerShell.Commands.HelpNotFoundException","True","True","True",""
"Microsoft.PowerShell.Commands.HistoryInfo","True","True","True",""
"Microsoft.PowerShell.Commands.ImportModuleCommand","True","True","True",""
"Microsoft.PowerShell.Commands.Internal.Format.FrontEndCommandBase","True","True","True",""
"Microsoft.PowerShell.Commands.Internal.Format.OuterFormatShapeCommandBase","True","True","True",""
"Microsoft.PowerShell.Commands.Internal.Format.OuterFormatTableAndListBase","True","True","True",""
"Microsoft.PowerShell.Commands.Internal.Format.OuterFormatTableBase","True","True","True",""
"Microsoft.PowerShell.Commands.Internal.RemotingErrorResources","True","False","False",""
"Microsoft.PowerShell.Commands.Internal.TransactedRegistryAccessRule","True","False","False",""
"Microsoft.PowerShell.Commands.Internal.TransactedRegistryAuditRule","True","False","False",""
"Microsoft.PowerShell.Commands.Internal.TransactedRegistryKey","True","False","False",""
"Microsoft.PowerShell.Commands.Internal.TransactedRegistrySecurity","True","False","False",""
"Microsoft.PowerShell.Commands.InternalSymbolicLinkLinkCodeMethods","True","True","True",""
"Microsoft.PowerShell.Commands.InvokeCommandCommand","True","True","True",""
"Microsoft.PowerShell.Commands.InvokeHistoryCommand","True","True","True",""
"Microsoft.PowerShell.Commands.JobCmdletBase","True","True","True",""
"Microsoft.PowerShell.Commands.Management.TransactedString","True","False","False",""
"Microsoft.PowerShell.Commands.ModuleCmdletBase","True","True","True",""
"Microsoft.PowerShell.Commands.ModuleSpecification","True","True","True",""
"Microsoft.PowerShell.Commands.NewModuleCommand","True","True","True",""
"Microsoft.PowerShell.Commands.NewModuleManifestCommand","True","True","True",""
"Microsoft.PowerShell.Commands.NewPSRoleCapabilityFileCommand","True","True","True",""
"Microsoft.PowerShell.Commands.NewPSSessionCommand","True","True","True",""
"Microsoft.PowerShell.Commands.NewPSSessionConfigurationFileCommand","True","False","False",""
"Microsoft.PowerShell.Commands.NewPSSessionOptionCommand","True","False","False",""
"Microsoft.PowerShell.Commands.NewPSTransportOptionCommand","True","True","True",""
"Microsoft.PowerShell.Commands.NounArgumentCompleter","True","True","True",""
"Microsoft.PowerShell.Commands.ObjectEventRegistrationBase","True","True","True",""
"Microsoft.PowerShell.Commands.OpenMode","True","True","True",""
"Microsoft.PowerShell.Commands.OutDefaultCommand","True","True","True",""
"Microsoft.PowerShell.Commands.OutHostCommand","True","True","True",""
"Microsoft.PowerShell.Commands.OutLineOutputCommand","True","True","True",""
"Microsoft.PowerShell.Commands.OutNullCommand","True","True","True",""
"Microsoft.PowerShell.Commands.OutTarget","True","False","False",""
"Microsoft.PowerShell.Commands.PSEditionArgumentCompleter","True","True","True",""
"Microsoft.PowerShell.Commands.PSExecutionCmdlet","True","True","True",""
"Microsoft.PowerShell.Commands.PSHostProcessInfo","True","False","False",""
"Microsoft.PowerShell.Commands.PSPropertyExpression","False","True","False",""
"Microsoft.PowerShell.Commands.PSPropertyExpressionResult","False","True","False",""
"Microsoft.PowerShell.Commands.PSRemotingBaseCmdlet","True","True","True",""
"Microsoft.PowerShell.Commands.PSRemotingCmdlet","True","True","True",""
"Microsoft.PowerShell.Commands.PSRunspaceCmdlet","True","True","True",""
"Microsoft.PowerShell.Commands.PSSessionConfigurationCommandBase","True","False","False",""
"Microsoft.PowerShell.Commands.PSSnapInCommandBase","True","False","False",""
"Microsoft.PowerShell.Commands.ReceiveJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.ReceivePSSessionCommand","True","False","False",""
"Microsoft.PowerShell.Commands.RegisterPSSessionConfigurationCommand","True","False","False",""
"Microsoft.PowerShell.Commands.RegistryProvider","True","False","False",""
"Microsoft.PowerShell.Commands.RegistryProviderSetItemDynamicParameter","True","False","False",""
"Microsoft.PowerShell.Commands.RemoveJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.RemoveModuleCommand","True","True","True",""
"Microsoft.PowerShell.Commands.RemovePSSessionCommand","True","True","True",""
"Microsoft.PowerShell.Commands.RemovePSSnapinCommand","True","False","False",""
"Microsoft.PowerShell.Commands.ResumeJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.SaveHelpCommand","True","True","True",""
"Microsoft.PowerShell.Commands.SessionFilterState","True","True","True",""
"Microsoft.PowerShell.Commands.SessionStateProviderBase","True","True","True",""
"Microsoft.PowerShell.Commands.SessionStateProviderBaseContentReaderWriter","True","True","True",""
"Microsoft.PowerShell.Commands.SetPSDebugCommand","True","True","True",""
"Microsoft.PowerShell.Commands.SetPSSessionConfigurationCommand","True","False","False",""
"Microsoft.PowerShell.Commands.SetStrictModeCommand","True","True","True",""
"Microsoft.PowerShell.Commands.StartJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.StopJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.SuspendJobCommand","True","True","True",""
"Microsoft.PowerShell.Commands.TestModuleManifestCommand","True","True","True",""
"Microsoft.PowerShell.Commands.TestPSSessionConfigurationFileCommand","True","False","False",""
